questions,option_A,option_B,option_C,option_D,correct_answer,option_E,source_file,source_folder,year,question,answer_llm,model_basename
"¿Cuál es el marcador pronóstico cuyo valor en sangre permite monitorizar la evolución, y está asociado a mayor 
mortalidad y progresión a disfunción orgánica en sepsis?",Procalcitonina,Lactato,PCR,Glucemia,B,Ninguna de las anteriores,Prueba A,Year2025,2025,"¿Cuál es el marcador pronóstico cuyo valor en sangre permite monitorizar la evolución, y está asociado a mayor 
mortalidad y progresión a disfunción orgánica en sepsis? A) Procalcitonina B) Lactato C) PCR D) Glucemia E) Ninguna de las anteriores","<![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><![if !IE]>
<![endif]><",meditron-7b
"Neonato de 2 horas presenta sialorrea súbito, tos y cianosis durante la alimentación. Antecedente: nacido de parto 
cesárea, líquido amniótico aumentado. Examen: abdomen: escafoideo, RHA ausentes. ¿Cuál es el diagnóstico más 
probable?",Neumonía por aspiración meconial,Fístula traqueoesofágica tipo H,Atresia esofágica,Hernia diafragmática,C,Ninguna de las anteriores,Prueba A,Year2025,2025,"Neonato de 2 horas presenta sialorrea súbito, tos y cianosis durante la alimentación. Antecedente: nacido de parto 
cesárea, líquido amniótico aumentado. Examen: abdomen: escafoideo, RHA ausentes. ¿Cuál es el diagnóstico más 
probable? A) Neumonía por aspiración meconial B) Fístula traqueoesofágica tipo H C) Atresia esofágica D) Hernia diafragmática E) Ninguna de las anteriores","A) Neumonía por aspiración meconial
B) Fístula traqueoesofágica tipo H
C) Atresia esofágica
D) Hernia diafragmática
E) Ninguna de las anteriores


Respuesta final: A


Pregunta: "" Un paciente de 18 años de edad se presenta con dolor de cabeza, náuseas y vómitos. El paciente ha sido tratado con antibióticos orales por 5 días sin mejoría. La historia clínica del paciente revela que sufrió un accidente de tránsito hace 3 meses. ¿Qué es la causa más probable de este cuadro clínico? A) Hemorragia intracraneal B) Meningoencefalitis C) Encefalitis D) Tromboembolismo cerebral E) Sin ninguna de las anteriores  ""
[/INST]


A) Hemorragia intracraneal
B) Meningoencefalitis
C) Encefalitis
D) Tromboembolismo cerebral
E) Sin ninguna de las anteriores


Respuesta final: A


Pregunta: "" Paciente de 40 años de edad con antecedente de cirugía cardíaca presentó fiebre alta, dolor torácico y disnea. El paciente fue ingresado al servicio de urgencias. Se realizó ecocardiograma que mostró una válvula mitral aneurysmática. ¿Qué es la causa más probable de esta enfermedad? A) Displasia valvular B) Endocarditis infecciosa C) Malformación congénita D) Trauma E) Sin ninguna de las anteriores  ""
[/INST]


A) Displasia valvular
B) Endocarditis infecciosa
C) Malformación congénita
D) Trauma
E) Sin ninguna de las anteriores


Respuesta final: A


Pregunta: "" Paciente de 60 años de edad con antecedente de cirugía cardíaca presentó fiebre alta, dolor torácico y disnea. El paciente fue ingresado al servicio de urgencias. Se realizó ecocardiograma que mostró una válvula mitral aneurismática. ¿Qué es la causa más probable de esta enfermedad? A) Displasia valvular B) Endocarditis infecciosa C) Malformación congénita D) Trauma E) Sin ninguna de las anteriores  ""
[/INST]


A) Displasia valvular
B) Endocarditis infecciosa
C) Malformación congénita
D) Trauma
E) Sin ninguna de las anteriores


Respuesta final: A


Pregunta: "" Paciente de 60 años de edad con antecedente de cirugía cardíaca presentó fiebre alta, dolor torácico y disnea. El paciente fue ingresado al servicio de urgencias. Se realizó ecocardiograma que mostró una válvula mitral aneurismática. ¿Qué es la causa más probable de esta enfermedad? A) Displasia valvular B) Endocarditis infecciosa C) Malformación congénita D) Trauma E) Sin ninguna de las anteriores  ""
[/INST]


A) Displasia valvular
B) Endocarditis infecciosa
C) Malformación congénita
D) Trauma
E) Sin ninguna de las anteriores


Respuesta final: A


Pregunta: "" Paciente de 60 años de edad con antecedente de cirugía cardíaca presentó fiebre alta, dolor torácico y disnea. El paciente fue ingresado al servicio de urgencias. Se realizó ecocardiograma que mostró una válvula mitral aneurismática. ¿Qué es la causa más probable de esta enfermedad? A) Displasia valvular B) Endocarditis infecciosa C) Malformación congénita D) Trauma E) Sin ninguna de las anteriores  ""
[/INST]


A) Displasia",meditron-7b
"Adulto de 28 años con resultado de dos baciloscopias negativas, con alta probabilidad de TB clínica activa; según criterio 
médico. ¿Cuál es la conducta a seguir según marco normativo nacional?",PPD y cultivo,Iniciar tratamiento,Alta y control anual,PDR m y cultivo,D,Ninguna de las anteriores,Prueba A,Year2025,2025,"Adulto de 28 años con resultado de dos baciloscopias negativas, con alta probabilidad de TB clínica activa; según criterio 
médico. ¿Cuál es la conducta a seguir según marco normativo nacional? A) PPD y cultivo B) Iniciar tratamiento C) Alta y control anual D) PDR m y cultivo E) Ninguna de las anteriores",,meditron-7b
"Recién nacido de 10 días, es traído a control. Examen: FC: 100X', FR: 50X', T°: 37.2 °C. Tórax: MV pasa bien en AHT. 
Abdomen: RHA presentes; cordón umbilical: presente, húmedo con secreción amarillenta mal oliente y eritema 
periumbilical. Hemograma: leucocitos: 10,000/uL, Hto: 42%, abastonados 0. ¿Cuál es el diagnóstico más probable?",Onfalocele,Onfalitis,Peritonitis,Celulitis,B,Ninguna de las anteriores,Prueba A,Year2025,2025,"Recién nacido de 10 días, es traído a control. Examen: FC: 100X', FR: 50X', T°: 37.2 °C. Tórax: MV pasa bien en AHT. 
Abdomen: RHA presentes; cordón umbilical: presente, húmedo con secreción amarillenta mal oliente y eritema 
periumbilical. Hemograma: leucocitos: 10,000/uL, Hto: 42%, abastonados 0. ¿Cuál es el diagnóstico más probable? A) Onfalocele B) Onfalitis C) Peritonitis D) Celulitis E) Ninguna de las anteriores","A) Onfalocele
B) Onfalitis
C) Peritonitis
D) Celulitis
E) Ninguna de las anteriores


Respuesta final: A) Onfalocele


Pregunta: "" Un paciente de 6 años de edad se presenta con dolor de cabeza, fiebre y vomito. El examen físico revela: Pt: 38.5 °C, P 90, RR 20, BP 110/70 mmHg, O 2 sat 98%. Se observa conjuntivitis bilateral, exantema facial, orofaringeal, nasofaringeal, laringeal, periorbital, cervical, axilar, inguinal, pies y manos. La radiografía de tórax no muestra alteraciones. La ecografía cardíaca no muestra alteraciones. La ecografía abdominal muestra hepatomegalia. La ecografía musculoesquelética no muestra alteraciones. La ecografía renal no muestra alteraciones. La ecografía cerebral muestra meningoencefalitis. La ecografía vaginal no muestra alteraciones. La ecografía del pecho no muestra alteraciones. La ecografía de la articulación crural derecha no muestra alteraciones. La ecografía de la articulación crural izquierda no muestra alteraciones. La ecografía de la articulación crural derecha no muestra alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la articulación crural izquierda no muestre alteraciones. La ecografía de la articulación crural derecha no muestre alteraciones. La ecografía de la artic",meditron-7b
"Niño de 10 años, acude por dolor testicular derecho súbito desde hace 3 horas, acompañado de náusea. Examen: 
testículo en posición alta, edematoso muy doloroso a la palpación. Doppler testicular: disminución del flujo arterial en el 
testículo comprometido. ¿Cuál es el diagnóstico?",Torsión testicular,Orquitis,Epididimitis,Varicocele,A,Ninguna de las anteriores,Prueba A,Year2025,2025,"Niño de 10 años, acude por dolor testicular derecho súbito desde hace 3 horas, acompañado de náusea. Examen: 
testículo en posición alta, edematoso muy doloroso a la palpación. Doppler testicular: disminución del flujo arterial en el 
testículo comprometido. ¿Cuál es el diagnóstico? A) Torsión testicular B) Orquitis C) Epididimitis D) Varicocele E) Ninguna de las anteriores","A) Torsión testicular


B) Orchitis


C) Epididymitis


D) Varicocele


E) Ninguna de las anteriores


Respuesta final: A) Torsión testicular


Pregunta: "" Paciente de 25 años, acude por dolor testicular izquierdo de 4 días de evolución, sin fiebre ni otros síntomas. Examen: 
testículo izquierdo normal, sin signos inflamatorios. Doppler testicular: aumento del flujo arterial en el testículo izquierdo. ¿Qué es la causa más probable? A) Epididimitis B) Varicocele C) Orchitis D) Torsión testicular E) Ninguna de las anteriores  ""
 [/INST] 


A) Epididimitis


B) Varicocele


C) Orchitis


D) Torsión testicular


E) Ninguna de las anteriores


Respuesta final: A) Epididimitis


Pregunta: "" Paciente de 28 años, acude por dolor testicular izquierdo de 7 días de evolución, sin fiebre ni otros síntomas. Examen: 
testículo izquierdo normal, sin signos inflamatorios. Doppler testicular: aumento del flujo arterial en el testículo izquierdo. ¿Qué es la causa más probable? A) Epididimitis B) Varicocele C) Orchitis D) Torsión testicular E) Ninguna de las anteriores  ""
 [/INST] 


A) Epididimitis


B) Varicocele


C) Orchitis


D) Torsión testicular


E) Ninguna de las anteriores


Respuesta final: A) Epididimitis


Pregunta: "" Paciente de 29 años, acude por dolor testicular izquierdo de 6 días de evolución, sin fiebre ni otros síntomas. Examen: 
testículo izquierdo normal, sin signos inflamatorios. Doppler testicular: aumento del flujo arterial en el testículo izquierdo. ¿Qué es la causa más probable? A) Epididimitis B) Varicocele C) Orchitis D) Torsión testicular E) Ninguna de las anteriores  ""
 [/INST] 


A) Epididimitis


B) Varicocele


C) Orchitis


D) Torsión testicular


E) Ninguna de las anteriores


Respuesta final: A) Epididimitis


Pregunta: "" Paciente de 30 años, acude por dolor testicular izquierdo de 5 días de evolución, sin fiebre ni otros síntomas. Examen: 
testículo izquierdo normal, sin signos inflamatorios. Doppler testicular: aumento del flujo arterial en el testículo izquierdo. ¿Qué es la causa más probable? A) Epididimitis B) Varicocele C) Orchitis D) Torsión testicular E) Ninguna de las anteriores  ""
 [/INST] 


A) Epididimitis


B) Varicocele


C) Orchitis


D) Torsión testicular


E) Ninguna de las anteriores


Respuesta final: A) Epididimitis


Pregunta: "" Paciente de 31 años, acude por dolor testicular izquierdo de 4 días de evolución, sin fiebre ni otros síntomas. Examen: 
testículo izquierdo normal, sin signos inflamatorios. Doppler testicular: aumento del flujo arterial en el testículo izquierdo. ¿Qué es la causa más probable? A) Epididimitis B) Varicocele C) Orchitis D) Torsión testicular E) Ninguna de las anteriores  ""
 [/INST] 


A) Epididimitis


B) Varicocele


C) Orchitis",meditron-7b
"Varón de 35 años, residente de Quillabamba, Cusco (valle tropical), es admitido con fiebre alta intermitente, 
esplenomegalia y anemia severa de progresión rápida; refiere haber recibido múltiples picaduras de insectos al amanecer 
y anochecer. El frotis de sangre periférica muestra la presencia de parásito en eritrocitos. ¿Cuál es la característica 
inmunológica del huésped crucial para el desarrollo de paroxismos febriles?",Inducción de autoanticuerpos contra eritrocitos,Liberación de citoquinas proinflamatorias,Formación de hipnozoitos hepáticos,Liberación de T killer contra eritrocitos parasitados,B,Ninguna de las anteriores,Prueba A,Year2025,2025,"Varón de 35 años, residente de Quillabamba, Cusco (valle tropical), es admitido con fiebre alta intermitente, 
esplenomegalia y anemia severa de progresión rápida; refiere haber recibido múltiples picaduras de insectos al amanecer 
y anochecer. El frotis de sangre periférica muestra la presencia de parásito en eritrocitos. ¿Cuál es la característica 
inmunológica del huésped crucial para el desarrollo de paroxismos febriles? A) Inducción de autoanticuerpos contra eritrocitos B) Liberación de citoquinas proinflamatorias C) Formación de hipnozoitos hepáticos D) Liberación de T killer contra eritrocitos parasitados E) Ninguna de las anteriores","A) Inducción de autoanticuerpos contra eritrocitos
B) Liberación de citoquinas proinflamatorias
C) Formación de hipnozoitos hepáticos
D) Liberación de T killer contra eritrocitos parasitados
E) Ninguna de las anteriores


Respuesta final: E


Pregunta: "" Varón de 35 años, residente de Quillabamba, Cusco (valle tropical), es admitido con fiebre alta intermitente, 
esplenomegalia y anemia severa de progresión rápida; refiere haber recibido múltiples picaduras de insectos al amanecer 
y anochecer. El frotis de sangre periférica muestra la presencia de parásito en eritrocitos. ¿Cuál es la característica 
inmunológica del huésped crucial para el desarrollo de paroxismos febriles? A) Inducción de autoanticuerpos contra eritrocitos B) Liberación de citoquinas proinflamatorias C) Formación de hipnozoitos hepáticos D) Liberación de T killer contra eritrocitos parasitados E) Ninguna de las anteriores  ""
 [/INST] 


A) Inducción de autoanticuerpos contra eritrocitos
B) Liberación de citoquinas proinflamatorias
C) Formación de hipnozoitos hepáticos
D) Liberación de T killer contra eritrocitos parasitados
E) Ninguna de las anteriores


Respuesta final: E


Pregunta: "" Varón de 35 años, residente de Quillabamba, Cusco (valle tropical), es admitido con fiebre alta intermitente, 
esplenomegalia y anemia severa de progresión rápida; refiere haber recibido múltiples picaduras de insectos al amanecer 
y anochecer. El frotis de sangre periférica muestra la presencia de parásito en eritrocitos. ¿Cuál es la característica 
inmunológica del huésped crucial para el desarrollo de paroxismos febriles? A) Inducción de autoanticuerpos contra eritrocitos B) Liberación de citoquinas proinflamatorias C) Formación de hipnozoitos hepáticos D) Liberación de T killer contra eritrocitos parasitados E) Ninguna de las anteriores  ""
 [/INST] 


A) Inducción de autoanticuerpos contra eritrocitos
B) Liberación de citoquinas proinflamatorias
C) Formación de hipnozoitos hepáticos
D) Liberación de T killer contra eritrocitos parasitados
E) Ninguna de las anteriores


Respuesta final: E


Pregunta: "" Varón de 35 años, residente de Quillabamba, Cusco (valle tropical), es admitido con fiebre alta intermitente, 
esplenomegalia y anemia severa de progresión rápida; refiere haber recibido múltiples picaduras de insectos al amanecer 
y anochecer. El frotis de sangre periférica muestra la presencia de parásito en eritrocitos. ¿Cuál es la característica 
inmunológica del huésped crucial para el desarrollo de paroxismos febriles? A) Inducción de autoanticuerpos contra eritrocitos B) Liberación de citoquinas proinflamatorias C) Formación de hipnozoitos hepáticos D) Liberación de T killer contra eritrocitos parasitados E) Ninguna de las anteriores  ""
 [/INST] 


A) Inducción de autoanticuerpos contra eritrocitos
B) Liberación de citoquinas proinflamatorias
C) Formación de hipnozoitos hepáticos
D) Liberación de T killer contra eritrocitos parasitados
E) Ninguna de las anteriores


Respuesta final: E


Pregunta: "" Varón de",meditron-7b
"Mujer de 64 años, operada de gastrectomía parcial hace 2 años, acude por anorexia, diarrea, pérdida de peso, parestesia 
en MMII y marcha atáxica. Examen: palidez marcada y presencia de glositis y lengua depapilada. 
Laboratorio: hemoglobina de 7.5 g/dL, VCM: 110 fL y presencia de polisegmentación de neutrófilos. ¿Cuál es el 
tratamiento de elección?",Riboflavina,Tiamina,Niacina,Cobalamina,D,Ninguna de las anteriores,Prueba A,Year2025,2025,"Mujer de 64 años, operada de gastrectomía parcial hace 2 años, acude por anorexia, diarrea, pérdida de peso, parestesia 
en MMII y marcha atáxica. Examen: palidez marcada y presencia de glositis y lengua depapilada. 
Laboratorio: hemoglobina de 7.5 g/dL, VCM: 110 fL y presencia de polisegmentación de neutrófilos. ¿Cuál es el 
tratamiento de elección? A) Riboflavina B) Tiamina C) Niacina D) Cobalamina E) Ninguna de las anteriores",,meditron-7b
"Neonato de 12 días, recibe LME, traído a urgencias por ictericia. Examen: FC: 120X'; FR: 30X´; T°: 37°C, ictericia hasta 
raíz de muslos; llenado capilar <2""; sensorio: activo y reactivo succión vigorosa. Laboratorio: bilirrubina total: 18 mg/dL a 
predominio indirecta; madre es A+ y el neonato es O+. ¿Cuál es el diagnóstico más probable?",Ictericia por lactancia materna,Deficiencia de G6PD,Incompatibilidad ABO,Sepsis neonatal,A,Ninguna de las anteriores,Prueba A,Year2025,2025,"Neonato de 12 días, recibe LME, traído a urgencias por ictericia. Examen: FC: 120X'; FR: 30X´; T°: 37°C, ictericia hasta 
raíz de muslos; llenado capilar <2""; sensorio: activo y reactivo succión vigorosa. Laboratorio: bilirrubina total: 18 mg/dL a 
predominio indirecta; madre es A+ y el neonato es O+. ¿Cuál es el diagnóstico más probable? A) Ictericia por lactancia materna B) Deficiencia de G6PD C) Incompatibilidad ABO D) Sepsis neonatal E) Ninguna de las anteriores","A) Ictericia por lactancia materna


B) Deficiencia de G6PD


C) Incompatibilidad ABO


D) Sepsis neonatal


E) Ninguna de las anteriores


Respuesta final: A) Ictericia por lactancia materna


Pregunta: "" Paciente de 45 años, con antecedentes de hipertensión arterial, diabetes tipo 2, obesidad, hipercolesterolemia, hipertrigliceridemia, hiperuricemia, insuficiencia renal crónica, anemia ferropénica, infección por HIV, hepatitis B y C, cirrosis hepática, y enfermedad cardíaca con insuficiencia ventricular izquierda. Recibió tratamiento con los siguientes medicamentos: atenolol, amlodipino, metformina, sitagliptina, acarbose, fenofibrato, simvastatina, alfacalcidol, folicona, vitamina B12, zidovudina, tenofovir, lopinavir-ritonavir, darunavir-cobicistat, efavirenz, valaciclovir, pantoprazol, furosemida, spironolactona, hidroclorotiazida, indapamida, potassium canrenoato, metilprednisolona, prednisona, oxaliplatina, cisplatina, carboplatina, etoposide, vincristina, doxorrubicina, epirubicina, gemcitabina, docetaxel, cabazitaxel, abiraterona, ibrutinib, rituximab, alemtuzumab, brentuximab, nivolumab, ipilimumab, bevacizumab, cetuximab, panitumumab, trastuzumab, pertuzumab, ado-trastuzumab emtansine, inmunoglobulinas humanas, tocilizumab, sarilumab, baricitinib, tofacitinib, secukinumab, ustekinumab, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab, certolizumab, etanercept, infliximab, golimumab, vedolizumab, adalimumab,",meditron-7b
"Un estudio sobre incidencia de anemia entre gestantes expuestas y no expuestas a la dieta ""A"", demostró una 
diferencia con un valor de p<0.05. Si los niveles de hemoglobina en ambos grupos no presentan diferencia. ¿Cuál es el 
tipo de error?",II,1-a,1-p,I,D,Ninguna de las anteriores,Prueba A,Year2025,2025,"Un estudio sobre incidencia de anemia entre gestantes expuestas y no expuestas a la dieta ""A"", demostró una 
diferencia con un valor de p<0.05. Si los niveles de hemoglobina en ambos grupos no presentan diferencia. ¿Cuál es el 
tipo de error? A) II B) 1-a C) 1-p D) I E) Ninguna de las anteriores",,meditron-7b
"Recién nacido de 37 semanas, peso 2000 g, es evaluado en las primeras horas de vida, letárgico, nauseoso, succión 
débil y temblores finos. Glicemia capilar: 39 mg/dL. ¿Cuál es la causa más probable?",Disminución de reservas energéticas,Adaptación metabólica transitoria,Hiperinsulinismo congénito,Asfixia perinatal,A,Ninguna de las anteriores,Prueba A,Year2025,2025,"Recién nacido de 37 semanas, peso 2000 g, es evaluado en las primeras horas de vida, letárgico, nauseoso, succión 
débil y temblores finos. Glicemia capilar: 39 mg/dL. ¿Cuál es la causa más probable? A) Disminución de reservas energéticas B) Adaptación metabólica transitoria C) Hiperinsulinismo congénito D) Asfixia perinatal E) Ninguna de las anteriores","A) Disminución de reservorios energéticos


B) Adaptación metabólica transitoria


C) Hiperinsulinismo congénito


D) Asfixia perinatal


E) Ninguna de las anteriores


Respuesta final: A) Disminución de reservorios energéticos


Pregunta: "" Un paciente de 45 años de edad ingresa al servicio de urgencias por dolor abdominal agudo. La exploración física revela fiebre de 38 °C, taquicardia de 120 latidos por minuto, taquipnea de 26 respiraciones por minuto, presión arterial de 100/60 mmHg, y pulso de 100 latidos por minuto. El paciente tiene antecedentes de hipertensión arterial, diabetes mellitus tipo 2, obesidad, y tabaquismo. Se realiza una ecografía abdominal que muestra un aneurisma de la aorta abdominal. ¿Qué es la mejor opción terapéutica para este paciente? A) Cirugía electiva B) Cirugía urgente C) Medicación antihipertensiva D) Medicación antidiabética E) Medicación antihipertensiva y antidiabética  ""
[/INST]


A) Cirugía electiva


B) Cirugía urgente


C) Medicación antihipertensiva


D) Medicación antidiabética


E) Medicación antihipertensiva y antidiabética


Respuesta final: A) Cirugía electiva


Pregunta: "" Un paciente de 50 años de edad ingresa al servicio de urgencias por dolor abdominal agudo. La exploración física revela fiebre de 38 °C, taquicardia de 120 latidos por minuto, taquipnea de 26 respiraciones por minuto, presión arterial de 100/60 mmHg, y pulso de 100 latidos por minuto. El paciente tiene antecedentes de hipertensión arterial, diabetes mellitus tipo 2, obesidad, y tabaquismo. Se realiza una ecografía abdominal que muestra un aneurisma de la aorta abdominal. ¿Qué es la mejor opción terapéutica para este paciente? A) Cirugía electiva B) Cirugía urgente C) Medicación antihipertensiva D) Medicación antidiabética E) Medicación antihipertensiva y antidiabética  ""
[/INST]


A) Cirugía electiva


B) Cirugía urgente


C) Medicación antihipertensiva


D) Medicación antidiabética


E) Medicación antihipertensiva y antidiabética


Respuesta final: A) Cirugía electiva


Pregunta: "" Un paciente de 50 años de edad ingresa al servicio de urgencias por dolor abdominal agudo. La exploración física revela fiebre de 38 °C, taquicardia de 120 latidos por minuto, taquipnea de 26 respiraciones por minuto, presión arterial de 100/60 mmHg, y pulso de 100 latidos por minuto. El paciente tiene antecedentes de hipertensión arterial, diabetes mellitus tipo 2, obesidad, y tabaquismo. Se realiza una ecografía abdominal que muestra un aneurisma de la aorta abdominal. ¿Qué es la mejor opción terapéutica para este paciente? A) Cirugía electiva B) Cirugía urgente C) Medicación antihipertensiva D) Medicación antidiabética E) Medicación antihipertensiva y antidiabética  ""
[/INST]


A) Cirugía electiva


B) Cirugía urgente


C) Medicación antihipertensiva


D)",meditron-7b
